Subject,Mention,Name of Scientist,Gender,Type of Mention,Nationality,Region,Notes
biology,Punnett squares,Reginald Punnett,male,concept,British,Europe,Heredity & Continuity of Life
biology,Punnett squares,Reginald Punnett,male,concept,British,Europe,Heredity & Continuity of Life
biology,Punnett squares,Reginald Punnett,male,concept,British,Europe,Heredity & Continuity of Life
biology,Punnett squares,Reginald Punnett,male,concept,British,Europe,Heredity & Continuity of Life
chemistry,Avogadro’s number,Amedeo Avogadro,male,concept,Italian,Europe,Chemical Fundamentals
chemistry,Le Chatelier’s principle,Henry Le Chatelier,male,concept,French,Europe,Equilibrium & Redox Reactions
chemistry,Brønsted-Lowry model,Johannes Bronsted;Thomas Lowry,male;male,concept,Danish;English,Europe;Europe,Equilibrium & Redox Reactions
physics,Newton's Laws of Motion,Isaac Newton,male,concept,English,Europe,Linear Motion & Waves
physics,Newton’s Three Laws of Motion,Isaac Newton,male,concept,English,Europe,Linear Motion & Waves
physics,Newton’s Laws of Motion,Isaac Newton,male,concept,English,Europe,Gravity & Electromagnetism
physics,Newton’s law of universal gravitation,Isaac Newton,male,concept,English,Europe,Gravity & Electromagnetism
physics,Newton’s law of universal gravitation,Isaac Newton,male,concept,English,Europe,Gravity & Electromagnetism
physics,Newtonian Physics,Isaac Newton,male,concept,English,Europe,Modern Physics
physics,Newtonian Physics,Isaac Newton,male,concept,English,Europe,Modern Physics
physics,Einstein's Theory Special Relativity,Albert Einstein,male,concept,German,Europe,"Thermal, Nuclear, & Electrical Physics"
physics,Einstein’s mass/energy relationship,Albert Einstein,male,concept,German,Europe,Modern Physics
physics,Kepler’s laws of planetary motion,Johannes Kepler,male,concept,German,Europe,Gravity & Electromagnetism
physics,Coulomb's Law,Charles-Augustin de Coulomb,male,concept,French,Europe,Gravity & Electromagnetism
physics,Coulomb constant,Charles-Augustin de Coulomb,male,concept,French,Europe,Gravity & Electromagnetism
physics,Coulomb constant,Charles-Augustin de Coulomb,male,concept,French,Europe,Gravity & Electromagnetism
physics,Lenz's Law,Heinrich Lenz,male,concept,Estonian,Europe,Gravity & Electromagnetism
physics,Bohr's model of the atom,Niels Bohr,male,concept,Danish,Europe,Modern Physics
physics,Bohr's model of the hydrogen atom,Niels Bohr,male,concept,Danish,Europe,Modern Physics
physics,Bohr model,Niels Bohr,male,concept,Danish,Europe,Modern Physics
physics,Planck's Constant,Max Planck,male,concept,German,Europe,Modern Physics
physics,Planck's Constant,Max Planck,male,concept,German,Europe,Modern Physics
physics,Planck's Constant,Max Planck,male,concept,German,Europe,Modern Physics
physics,Planck's Constant,Max Planck,male,concept,German,Europe,Modern Physics
physics,Rydberg's Constant,Johannes Rydberg,male,concept,Swedish,Europe,Modern Physics
physics,Wein’s Displacement Constant,Wilhelm Wien,male,concept,German,Europe,Modern Physics
