Subject,Mention,Name of Scientist,Gender,Type of Mention,Nationality,Region,Examinable,Notes
physics,Newtons laws,Isaac Newton,male,concept,English,Europe,no,Non-examinable: mentioned in context paragraph 
physics,Newtons laws,Isaac Newton,male,concept,English,Europe,no,Non-examinable: mentioned in context paragraph 
physics,Newtons laws,Isaac Newton,male,concept,English,Europe,yes,
physics,Newtons laws,Isaac Newton,male,concept,English,Europe,yes,
physics,Newtons laws,Isaac Newton,male,concept,English,Europe,yes,
physics,Newtons laws,Isaac Newton,male,concept,English,Europe,yes,
physics,Doppler Effect,Christian Doppler,male,concept,Austrian,Europe,yes,
physics,Snell's law,Willebrord Snellius,male,concept,Dutch,Europe,yes,
physics,Snell's law,Willebrord Snellius,male,concept,Dutch,Europe,yes,
physics,Ohms law,Georg Ohm,male,concept,German,Europe,yes,
physics,Ohms law,Georg Ohm,male,concept,German,Europe,yes,
physics,Kirchoff's current law,Gustav Kirchhoff,male,concept,German,Europe,yes,
physics,Kirchoff's voltage law,Gustav Kirchhoff,male,concept,German,Europe,yes,
physics,Ohms law,Georg Ohm,male,concept,German,Europe,yes,
physics,Newtons laws,Isaac Newton,male,concept,English,Europe,yes,
physics,Keplers laws ,Johannes Kepler,male,concept,German,Europe,yes,
physics,Keplers laws ,Johannes Kepler,male,concept,German,Europe,yes,"Example: ""including but not limited to..."""
physics,Faradays law,Michael Faraday,male,concept,English,Europe,no,Non-examinable: mentioned in context paragraph
physics,Newtons laws,Isaac Newton,male,concept,English,Europe,yes,
physics,Faradays law,Michael Faraday,male,concept,English,Europe,yes,
physics,Lenzs law,Heinrich Lenz,male,concept,Russian,Europe,yes,Continent assigned based on ethnic group
physics,Lenzs law,Heinrich Lenz,male,concept,Russian,Europe,yes,Continent assigned based on ethnic group
physics,Lenzs law,Heinrich Lenz,male,concept,Russian,Europe,yes,Continent assigned based on ethnic group
physics,Newton,Isaac Newton,male,scientist,English,Europe,no,Non-examinable: mentioned in context paragraph
physics,Maxwell,James Maxwell,male,scientist,Scottish,Europe,no,Non-examinable: mentioned in context paragraph
physics,Maxwells contribution,James Maxwell,male,scientist,Scottish,Europe,yes,
