Subject,Mention,Name of Scientist,Gender,Type of Mention,Nationality,Region,Notes
physics,Celsius,Anders Celsius,male,concept,Swedish,Europe,
physics,Celsius,Anders Celsius,male,concept,Swedish,Europe,
physics,Kelvin,"William Thomson, Lord Kelvin",male,concept,British,Europe,
physics,Kelvin,"William Thomson, Lord Kelvin",male,concept,British,Europe,
physics,Fahrenheit,Daniel Fahrenheit,male,concept,German,Europe,
physics,Einstein's mass-energy relationship,Albert Einstein,male,scientist,German,Europe,
physics,Einstein's mass-energy relationship,Albert Einstein,male,scientist,German,Europe,
physics,Kirchoff's current law,Gustav Kirchhoff,male,concept,German,Europe,
physics,Kirchoff's voltage law,Gustav Kirchhoff,male,concept,German,Europe,
physics,Ohm's law,Georg Ohm,male,concept,German,Europe,
physics,Newton's law of motion,Isaac Newton,male,concept,English,Europe,
physics,Newton's law of motion,Isaac Newton,male,concept,English,Europe,
physics,Newton's law of motion,Isaac Newton,male,concept,English,Europe,
physics,Newton's law of motion,Isaac Newton,male,concept,English,Europe,
physics,Newton's law of motion,Isaac Newton,male,concept,English,Europe,
physics,"Students could appreciate that Ptolemy, Aristotle, Copernicus, Galileo and Newton developed many complex models and theories describing motion and force. The development of these models and theories required a wide range of evidence, some of which was provided by predecessors.",Isaac Newton;Claudias Ptolemy;Aristotle;Nicolaus Copernicus;Galileo Galilei,male;male;male;male;male,scientist;scientist;scientist;scientist;scientist,English;Roman;Greek;Polish;Italian,Europe;Europe;Europe;Europe;Europe,
physics,Snell's Law,Willebrord Snellius,male,concept,Dutch,Europe,
physics,Michelson-Morley experiment,Albert Michelson;Edward Morley,male;male,concept,American;American,North America;North America,
physics,Newton's law of motion,Isaac Newton,male,concept,English,Europe,
physics,Newton's law of motion,Isaac Newton,male,concept,English,Europe,
physics,Newton's law of motion,Isaac Newton,male,concept,English,Europe,
physics,Newton's law of motion,Isaac Newton,male,concept,English,Europe,
physics,"From Ptolemy to Newton, the accepted model of the solar system slowly shifted under the influence of carefully collected and analysed data",Claudias Ptolemy;Isaac Newton,male;male,scientist;scientist,English;Roman,Europe;Europe,
physics,Kepler's laws of planetary motion,Johannes Kepler,male,concept,German,Europe,
physics,Kepler's third law,Johannes Kepler,male,concept,German,Europe,
physics,Kepler's third law,Johannes Kepler,male,concept,German,Europe,
physics,Coulomb's Law,Charles-Augustin de Coulomb,male,concept,French,Europe,
physics,Coulomb's Law,Charles-Augustin de Coulomb,male,concept,French,Europe,
physics,Coulomb meter,Charles-Augustin de Coulomb,male,concept,French,Europe,
physics,Newton's three laws of motion,Isaac Newton,male,concept,English,Europe,
physics,Newton's three laws of motion,Isaac Newton,male,concept,English,Europe,
physics,Faraday's Law,Michael Faraday,male,concept,English,Europe,
physics,Faraday's Law,Michael Faraday,male,concept,English,Europe,
physics,Faraday's Law,Michael Faraday,male,concept,English,Europe,
physics,Lenz's Law,Heinrich Lenz,male,concept,Russian,Europe,
physics,Lenz's Law,Heinrich Lenz,male,concept,Russian,Europe,
physics,Lenz's Law,Heinrich Lenz,male,concept,Russian,Europe,
physics,Newton's three laws of motion,Isaac Newton,male,concept,English,Europe,
physics,Newton's three laws of motion,Isaac Newton,male,concept,English,Europe,
physics,Newton's three laws of motion,Isaac Newton,male,concept,English,Europe,
physics,"Albert Einstein’s work on special relativity built upon the work of scientists such as Maxwell and Lorentz, while subsequent studies by Max Planck, Hermann Minkowski and others led to the development of relativistic theories of gravitation, mass–energy equivalence and quantum field theory.",Albert Einstein;James Maxwell;Hendrik Lorentz;Max Planck;Hermann Minkowski,male;male;male;male;male,scientist;scientist;scientist;scientist;scientist,German;Scottish;Dutch;German;German,Europe;Europe;Europe;Europe;Europe,
physics,Young's double split experiment,Thomas Young,male,concept,English,Europe,
physics,Young's double split experiment,Thomas Young,male,concept,English,Europe,
physics,Planck's constant,Max Planck,male,concept,German,Europe,
physics,Planck's constant,Max Planck,male,concept,German,Europe,
