Subject,Mention,Name of Scientist,Gender,Type of Mention,Nationality,Region,Notes
physics,Celsius,Anders Celsius,male,concept,Swedish,Europe,
physics,Kelvin,"William Thomson, Lord Kelvin",male,concept,British,Europe,
physics,Wien's Law,Wilhelm Wien,male,concept,German,Europe,
physics,Stefan-Boltzmann Law,Josef Stefan;Ludwig Boltzmann,male;male,concept,Austrian;Austrian,Europe;Europe,
physics,Newtons three laws of motion,Isaac Newton,male,concept,English,Europe,
physics,Hertzsprung-Russell diagram,Ejnar Hertzsprung;Henry Russell,male;male,concept,Danish;American,Europe;North America,
physics,Schwarzchild radius,Karl Schwarzschild,male,concept,German,Europe,
physics,Fermi paradox,Enrico Fermi,male,concept,Italian,Europe,
physics,Drake equation,Frank Drake,male,concept,American,North America,
physics,Bernoullis Principle,Daniel Bernoulli,male,concept,Swiss,Europe,
physics,Newtons laws of motion,Isaac Newton,male,concept,English,Europe,
physics,Newtons laws of motion,Isaac Newton,male,concept,English,Europe,
physics,Snells Law,Willebrord Snellius,male,concept,Dutch,Europe,
physics,Newtons laws of motion,Isaac Newton,male,concept,English,Europe,
physics,Magnus effect,Heinrich Magnus,male,concept,German,Europe,
physics,Newtons laws,Isaac Newton,male,concept,English,Europe,
physics,Einsteins theories,Albert Einstein,male,concept,German,Europe,
physics,Newtons laws of motion,Isaac Newton,male,concept,English,Europe,
physics,Newtons laws of motion,Isaac Newton,male,concept,English,Europe,
physics,Einsteins theory of special relativity,Albert Einstein,male,concept,German,Europe,
physics,Students compare Newtons and Einsteins explanations of motion,Isaac Newton;Albert Einstein,male;male,scientist;scientist,English;German,Europe;Europe,
physics,Newtons laws of motion,Isaac Newton,male,concept,English,Europe,
physics,Einsteins theory of special relativity,Albert Einstein,male,concept,German,Europe,
physics,Newtons three laws of motion,Isaac Newton,male,concept,English,Europe,
physics,Newtons second law,Isaac Newton,male,concept,English,Europe,
physics,Einsteins two postulates,Albert Einstein,male,concept,German,Europe,
physics,Einsteins theory of special relativity,Albert Einstein,male,concept,German,Europe,
physics,Hookes law,Robert Hooke,male,concept,English,Europe,
physics,interpret Einsteins prediction by showing that the total 'mass-energy' of an object is given by,Albert Einstein,male,scientist,German,Europe,
physics,Doppler effect,Christian Doppler,male,concept,Austrian,Europe,
physics,Snells Law,Willebrord Snellius,male,concept,Dutch,Europe,
physics,Youngs double slit experiment,Thomas Young,male,concept,English,Europe,
physics,de Broglie wavelength,Louis de Broglie,male,concept,French,Europe,
physics,Heisenbergs uncertainty principle,Werner Heisenberg,male,concept,German,Europe,
chemistry,Bohr Model,Niels Bohr,male,concept,Danish,Europe,
chemistry,Schrodinger model,Erwin Schrodinger,male,concept,Austrian,Europe,
chemistry,Bohr Model,Niels Bohr,male,concept,Danish,Europe,
chemistry,Schrodinger model,Erwin Schrodinger,male,concept,Austrian,Europe,
chemistry,Schrodinger model,Erwin Schrodinger,male,concept,Austrian,Europe,
chemistry,Avogadro constant,Amedeo Avogadro,male,concept,Italian,Europe,
chemistry,Lewis structures,Gilbert Lewis,male,concept,American,North America,
chemistry,Bronsted-Lowry theory of acids and bases,Johannes Bronsted;Thomas Lowry,male;male,concept,Danish;English,Europe;Europe,
chemistry,Faraday's laws,Michael Faraday,male,concept,English,Europe,
chemistry,Le Chateliers principle,Henry Le Chatelier,male,concept,French,Europe,
chemistry,Maxwell-Boltzmann distribution curves,James Maxwell;Ludwig Boltzmann,male;male,concept,Scottish;Austrian,Europe;Europe,
chemistry,Le Chateliers principle,Henry Le Chatelier,male,concept,French,Europe,
chemistry,Maxwell-Boltzmann distribution curves,James Maxwell;Ludwig Boltzmann,male;male,concept,Scottish;Austrian,Europe;Europe,
chemistry,Le Chateliers principle,Henry Le Chatelier,male,concept,French,Europe,
chemistry,Faradays laws,Michael Faraday,male,concept,English,Europe,
biology,Golgi apparatus,Camillo Golgi,male,concept,Italian,Europe,
biology,Krebs Cycle,Hans Krebs,male,concept,German,Europe,
environment,Simpsons index of diversity,Edward Simpson,male,concept,British,Europe,
